mode,tick,proposal_count,incident_count,veto_count,decision_count,approved_count,denied_count,executor_count
policy-only,1,0,0,0,0,0,0,0
policy-only,2,0,0,0,0,0,0,0
policy-only,3,0,0,0,0,0,0,0
policy-only,4,0,0,0,0,0,0,0
policy-only,5,0,0,0,0,0,0,0
policy-only,6,0,0,0,0,0,0,0
policy-only,7,0,0,0,0,0,0,0
policy-only,8,0,0,0,0,0,0,0
policy-only,9,0,0,0,0,0,0,0
policy-only,10,0,0,0,0,0,0,0
agents+policy,1,0,3,0,0,0,0,0
agents+policy,2,0,3,0,0,0,0,0
agents+policy,3,0,3,0,0,0,0,0
agents+policy,4,0,3,0,0,0,0,0
agents+policy,5,0,3,0,0,0,0,0
agents+policy,6,0,3,0,0,0,0,0
agents+policy,7,0,3,0,0,0,0,0
agents+policy,8,0,3,0,0,0,0,0
agents+policy,9,0,3,0,0,0,0,0
agents+policy,10,0,3,0,0,0,0,0
full,1,0,3,0,0,0,0,0
full,2,0,3,0,0,0,0,0
full,3,0,3,0,0,0,0,0
full,4,0,3,0,0,0,0,0
full,5,0,3,0,0,0,0,0
full,6,0,3,0,0,0,0,0
full,7,0,3,0,0,0,0,0
full,8,0,3,0,0,0,0,0
full,9,0,3,0,0,0,0,0
full,10,0,3,0,0,0,0,0
