workload,seed,tick,obs_count,collect_proposals_ms,policy_eval_ms,safety_eval_ms,executor_ms,total_ms,proposal_count,incident_count,veto_count,approved_count,denied_count,executor_count
mixed,42,1,11,0.0506,0.0301,0.0542,0.0614,0.2420,10,0,0,10,0,10
mixed,42,2,11,0.0533,0.0293,0.0472,0.4245,0.6029,10,0,0,10,0,10
mixed,42,3,11,0.0436,0.0291,0.0483,0.0580,0.2170,10,0,0,10,0,10
mixed,42,4,11,0.0414,0.0522,0.0448,0.0558,0.2285,10,0,0,10,0,10
mixed,42,5,11,0.0398,0.0262,0.0443,0.0521,0.2011,10,0,0,10,0,10
mixed,42,6,11,0.0377,0.0263,0.0684,0.0590,0.2236,10,0,0,10,0,10
mixed,42,7,11,0.0394,0.0288,0.0472,0.0577,0.2083,10,0,0,10,0,10
mixed,42,8,11,0.0755,0.0306,0.0510,0.0544,0.2533,10,0,0,10,0,10
mixed,42,9,11,0.0401,0.0318,0.0726,0.0610,0.2431,10,0,0,10,0,10
mixed,42,10,11,0.0453,0.0303,0.0498,0.0624,0.2307,10,0,0,10,0,10
